Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.33606E-4,31.507766779,0.507067809,0.228608875,0.263929619,0
1.34566E-4,31.762614955,0.509566142,0.226830182,0.265395894,0
1.35001E-4,32.005155583,0.510694358,0.225145104,0.272727273,0
1.35994E-4,32.262492979,0.513258643,0.223366411,0.274193548,0
1.37179E-4,32.508435162,0.516303833,0.221681333,0.275659824,0
1.38422E-4,32.756443935,0.519477366,0.219996255,0.2771261,0
1.39358E-4,33.006479758,0.521851689,0.218311178,0.282991202,0
1.40305E-4,33.258048462,0.524242962,0.2166261,0.284457478,0
1.4142E-4,33.511693234,0.527043192,0.214941022,0.284457478,0
1.42534E-4,33.753074359,0.52982421,0.21334956,0.285923754,0
1.43397E-4,34.010459725,0.531968933,0.211664482,0.288856305,0
1.44452E-4,34.255119202,0.534575272,0.21007302,0.291788856,0
1.45387E-4,34.501429196,0.536873313,0.208481558,0.291788856,0
1.465E-4,34.764062044,0.539595201,0.20679648,0.293255132,0
1.4761E-4,35.013886634,0.542292277,0.205205018,0.294721408,0
