"Lon","Lat","origin"
41,-6.88,"no_encounter"
62.33,-37.9,"no_sperm_whale_sighting"
79.33,-33.25,"no_sperm_whale_sighting"
46.91,-25.66,"no_sperm_whale_sighting"
58,-38.58,"no_encounter"
50.43,-24.41,"no_sperm_whale_sighting"
41.56,-4.65,"no_sperm_whale_sighting"
33.13,-31.2,"no_encounter"
29.36,-36.55,"no_encounter"
61.33,-36.75,"no_sperm_whale_sighting"
60.88,-35.76,"no_sperm_whale_sighting"
26.55,-36.71,"no_encounter"
56.86,-35.7,"no_encounter"
42.75,-14.03,"no_sperm_whale_sighting"
61.26,-32.31,"no_sperm_whale_sighting"
39.15,-30.2,"no_sperm_whale_sighting"
41,-6.13,"no_sperm_whale_sighting"
74.21,3.18,"no_sperm_whale_sighting"
62,-36.58,"no_encounter"
73.3,-37.76,"no_encounter"
34.83,-26,"no_sperm_whale_sighting"
78.36,-37.55,"no_sperm_whale_sighting"
31.31,-31.98,"no_sperm_whale_sighting"
75.93,-34.03,"no_encounter"
35,-26.77,"no_sperm_whale_sighting"
77.23,-34.56,"no_encounter"
70.01,-34.11,"no_sperm_whale_sighting"
66,-38,"no_encounter"
44.18,-12.08,"no_encounter"
57.65,14.36,"no_encounter"
42.83,-17.71,"no_sperm_whale_sighting"
56.45,15.75,"no_sperm_whale_sighting"
33.41,-30.91,"no_encounter"
66.75,-36.46,"no_encounter"
34.16,-27.83,"no_encounter"
50.26,-9.75,"no_sperm_whale_sighting"
46,-9.21,"no_sperm_whale_sighting"
35.21,-25.36,"no_encounter"
37.96,-31.6,"no_sperm_whale_sighting"
50.66,-10.21,"no_sperm_whale_sighting"
66.4,-39.4,"no_encounter"
73.13,-33.13,"no_sperm_whale_sighting"
84.23,-30.13,"no_sperm_whale_sighting"
44.33,-33.71,"no_sperm_whale_sighting"
59.78,-1.91,"no_sperm_whale_sighting"
48.28,-24.61,"no_sperm_whale_sighting"
56.35,-4.11,"no_sperm_whale_sighting"
42.81,-36.38,"no_sperm_whale_sighting"
56.16,-3.88,"no_sperm_whale_sighting"
48.5,-23.95,"no_encounter"
58.03,-2.76,"no_encounter"
55.8,-3.28,"no_encounter"
80.66,-33.5,"no_sperm_whale_sighting"
42.78,-40.23,"no_sperm_whale_sighting"
34.51,-27.73,"no_encounter"
65.46,-35.15,"no_sperm_whale_sighting"
36.25,-37.96,"no_sperm_whale_sighting"
37.08,-29.13,"no_encounter"
74.16,-30.5,"no_encounter"
27.86,-35.95,"no_encounter"
77.51,-38.28,"no_sperm_whale_sighting"
39,-23.98,"no_sperm_whale_sighting"
55.5,-4.67,"no_encounter"
36.88,-25.61,"no_sperm_whale_sighting"
48.51,-27.93,"no_sperm_whale_sighting"
63.4,-19.7,"no_sperm_whale_sighting"
30.66,-39.1,"no_encounter"
44.78,-27.66,"no_encounter"
51.28,-36.33,"no_sperm_whale_sighting"
41.58,-8,"no_encounter"
56.85,-37.71,"no_encounter"
62.61,-37.2,"no_encounter"
53.15,-4.5,"no_sperm_whale_sighting"
57,-34.33,"no_encounter"
76.93,-34.55,"no_sperm_whale_sighting"
43.16,-23.7,"no_sperm_whale_sighting"
42.31,-26.85,"no_encounter"
41.5,-4.03,"no_sperm_whale_sighting"
41.25,-29.5,"no_encounter"
78.45,-37.81,"no_sperm_whale_sighting"
47.76,-27.06,"no_encounter"
37.96,-35.53,"no_encounter"
